eventid,iyear,imonth,iday,provstate,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
2.00E+11,2002,10,11,Jammu and Kashmir (State),Kangan,Assassination,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,10,13,Assam (State),Unknown,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,10,23,Jammu and Kashmir (State),Anantnag,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,10,27,Assam,Dadgiri,Armed Assault,Private Citizens & Property,National Democratic Front of Bodoland (NDFB),Firearms
2.00E+11,2002,10,27,Assam,Guwahati,Bombing/Explosion,Government (General),Rebels,Explosives/Bombs/Dynamite
2.00E+11,2002,11,2,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Private Citizens & Property,Al-Umar Mujahideen,Explosives/Bombs/Dynamite
2.00E+11,2002,11,2,Jammu and Kashmir (State),Srinagar,Armed Assault,Government (General),Al-Madina,Firearms
2.00E+11,2002,11,2,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Al-Madina,Explosives/Bombs/Dynamite
2.00E+11,2002,11,3,National Capital Territory of Delhi (Union Territory),New Delhi,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2002,11,6,Jammu and Kashmir (State),Anantnag,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,11,8,Jammu and Kashmir (State),Wawoora,Armed Assault,Police,Unknown,Firearms
2.00E+11,2002,11,8,Jammu and Kashmir (State),Anantnag (District),Armed Assault,Police,Unknown,Firearms
2.00E+11,2002,11,11,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,11,11,Jammu and Kashmir (State),Ramsu,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,11,13,Jammu and Kashmir (State),Lasana,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,11,13,Jammu and Kashmir (State),Lasana,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,11,18,Andhra Pradesh (State),Chintagudam,Bombing/Explosion,Transportation,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2002,11,20,Jammu and Kashmir (State),Bandipora,Assassination,Government (General),Unknown,Firearms
2.00E+11,2002,11,20,Andhra Pradesh (State),Tumalacheruvu,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,11,20,Jharkhand (State),Unknown,Bombing/Explosion,Police,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2002,11,21,Andhra Pradesh (State),Hyderabad,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,11,21,Jammu and Kashmir (State),Srinagar,Armed Assault,Police,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.00E+11,2002,11,23,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Jamiat ul-Mujahedin (JuM),Explosives/Bombs/Dynamite
2.00E+11,2002,11,24,Jammu and Kashmir (State),Jammu,Bombing/Explosion,Religious Figures/Institutions,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.00E+11,2002,11,25,Andhra Pradesh (State),Pondugula,Bombing/Explosion,Transportation,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2002,11,25,Andhra Pradesh (State),Mukinda,Bombing/Explosion,Transportation,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2002,11,28,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Journalists & Media,Al-Badr,Explosives/Bombs/Dynamite
2.00E+11,2002,11,30,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,12,1,Jammu and Kashmir (State),Kashmir,Armed Assault,Military,Other,Firearms
2.00E+11,2002,12,1,Jammu and Kashmir (State),Bun Doda,Armed Assault,Military,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2002,12,2,Maharashtra (State),Mumbai,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,12,2,Anantnag (District),Damhal-Hanjipora,Bombing/Explosion,Government (General),Unknown,Firearms
2.00E+11,2002,12,5,Jammu and Kashmir (State),Pulwama,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2002,12,9,Manipur (State),New Heaven,Armed Assault,Military,Unknown,Firearms
2.00E+11,2002,12,12,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Al Nasirin (India),Explosives/Bombs/Dynamite
2.00E+11,2002,12,16,Jammu and Kashmir (State),Rajouri,Bombing/Explosion,Private Citizens & Property,Other,Explosives/Bombs/Dynamite
2.00E+11,2002,12,18,Jammu and Kashmir (State),Kulgam,Bombing/Explosion,Military,Other,Explosives/Bombs/Dynamite
2.00E+11,2002,12,18,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Police,Other,Explosives/Bombs/Dynamite
2.00E+11,2002,12,18,Jammu and Kashmir (State),Baramulla District,Armed Assault,Military,Other,Firearms
2.00E+11,2002,12,18,Jammu and Kashmir (State),Udhampur District,Unknown,Military,Other,Unknown
2.00E+11,2002,12,19,Jammu and Kashmir (State),Rajouri,Armed Assault,Private Citizens & Property,Other,Firearms
2.00E+11,2002,12,19,National Capital Territory of Delhi (Union Territory),New Delhi,Bombing/Explosion,Police,Other,Explosives/Bombs/Dynamite
2.00E+11,2002,12,20,Jammu and Kashmir (State),Konibal,Assassination,Government (General),Save Kashmir Movement,Firearms
2.00E+11,2003,1,2,Andhra Pradesh (State),Bayyaram,Assassination,Government (General),Unknown,Melee
2.00E+11,2003,1,2,Jammu and Kashmir (State),Sailya,Assassination,Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,1,3,Tripura (State),Chaplingcherra,Armed Assault,Military,National Liberation Front of Tripura (NLFT),Explosives/Bombs/Dynamite
2.00E+11,2003,1,3,Andhra Pradesh (State),Bodhanam,Hostage Taking (Kidnapping),Government (General),People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,1,3,Andhra Pradesh (State),Gambirpur,Assassination,Government (General),Praveen Dalam,Firearms
2.00E+11,2003,1,3,Andhra Pradesh (State),Ajamnagar,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.00E+11,2003,1,3,Andhra Pradesh (State),Ghanpur,Bombing/Explosion,Government (General),Other,Explosives/Bombs/Dynamite
2.00E+11,2003,1,5,Jammu and Kashmir (State),Kulgam,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,1,5,Andhra Pradesh (State),Kothur,Bombing/Explosion,Government (General),People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,1,6,Jammu and Kashmir (State),Srinagar,Assassination,Business,Unknown,Firearms
2.00E+11,2003,1,9,Jammu and Kashmir (State),Sumblar,Assassination,Private Citizens & Property,Unknown,Melee
2.00E+11,2003,1,9,Jammu and Kashmir (State),Ahem Sharief,Assassination,Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,1,10,Jammu and Kashmir (State),Poonch,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,1,10,Jammu and Kashmir (State),Kheora,Bombing/Explosion,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,1,10,Jammu and Kashmir (State),Baramulla,Assassination,Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,1,11,Andhra Pradesh (State),Madimalla,Assassination,Violent Political Party,People's War Group (PWG),Firearms
2.00E+11,2003,1,11,Andhra Pradesh (State),Dachepalli Mandal,Bombing/Explosion,Government (General),People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,1,12,Andhra Pradesh (State),Peddaktnta,Armed Assault,Business,People's War Group (PWG),Incendiary
2.00E+11,2003,1,12,Andhra Pradesh (State),Peddaktnta,Assassination,Private Citizens & Property,People's War Group (PWG),Firearms
2.00E+11,2003,1,13,Jammu and Kashmir (State),Panar,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,1,13,Kerala (State),Trivandrum,Armed Assault,Religious Figures/Institutions,Rashtriya Swayamsevak Sangh,Melee
2.00E+11,2003,1,14,Jammu and Kashmir (State),Srinagar,Assassination,Private Citizens & Property,Other,Firearms
2.00E+11,2003,1,15,Jammu and Kashmir (State),Baramulla,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,1,16,Jammu and Kashmir (State),Hajan Township,Assassination,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,1,16,Orissa (State),Unknown,Bombing/Explosion,Police,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,1,19,Jammu and Kashmir (State),Kulgam,Bombing/Explosion,Military,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,1,20,Assam (State),Unknown,Bombing/Explosion,Transportation,United People's Democratic Solidarity (UPDS),Explosives/Bombs/Dynamite
2.00E+11,2003,1,20,Jammu and Kashmir (State),Baramulla,Bombing/Explosion,Military,Islamic Fateh,Explosives/Bombs/Dynamite
2.00E+11,2003,1,20,Andhra Pradesh (State),Isaipet,Facility/Infrastructure Attack,Telecommunication,People's War Group (PWG),Incendiary
2.00E+11,2003,1,20,Andhra Pradesh (State),Chukkapur,Facility/Infrastructure Attack,Telecommunication,People's War Group (PWG),Incendiary
2.00E+11,2003,1,21,Uttar Pradesh (State),Tarahati Kalinzar,Armed Assault,Tourists,Unknown,Firearms
2.00E+11,2003,1,23,Jammu and Kashmir (State),Saraipul,Armed Assault,Government (General),Unknown,Firearms
2.00E+11,2003,1,24,Jammu and Kashmir (State),Nagshereen,Assassination,Government (General),Unknown,Firearms
2.00E+11,2003,1,24,Manipur (State),Thingkhangpi,Assassination,Government (General),Unknown,Firearms
2.00E+11,2003,1,25,Jammu and Kashmir (State),Ashmuqam,Bombing/Explosion,Police,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2003,1,25,Andhra Pradesh (State),Unknown,Assassination,Government (General),People's War Group (PWG),Melee
2.00E+11,2003,1,25,Andhra Pradesh (State),Kundlakunta,Assassination,Government (General),People's War Group (PWG),Melee
2.00E+11,2003,1,26,Tripura (State),Mandai,Armed Assault,Violent Political Party,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2003,1,26,Andhra Pradesh (State),Atmakur,Bombing/Explosion,Business,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,1,27,Maharashtra (State),Mumbai,Bombing/Explosion,Private Citizens & Property,Students Islamic Movement of India (SIMI),Explosives/Bombs/Dynamite
2.00E+11,2003,1,27,Maharashtra (State),Mumbai,Bombing/Explosion,Private Citizens & Property,Students Islamic Movement of India (SIMI),Explosives/Bombs/Dynamite
2.00E+11,2003,1,28,Jammu and Kashmir (State),Chatroo,Assassination,Government (General),Unknown,Firearms
2.00E+11,2003,1,28,Jammu and Kashmir (State),Shopian,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,1,28,Jammu and Kashmir (State),Budgam,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,1,28,Assam (State),Bogoribari,Armed Assault,Private Citizens & Property,Bodo Liberation Tigers (BLT),Firearms
2.00E+11,2003,1,31,Jammu and Kashmir (State),Srinagar,Assassination,Journalists & Media,Unknown,Firearms
2.00E+11,2003,1,31,Jammu and Kashmir (State),Anantnag,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,2,2,Chhatisgarh (State),Abhapalli,Armed Assault,Transportation,People's War Group (PWG),Firearms
2.00E+11,2003,2,6,Jammu and Kashmir (State),Frisal,Armed Assault,Military,Hizbul Mujahideen (HM),Firearms
2.00E+11,2003,2,10,Manipur (State),Lokchao,Armed Assault,Military,Kanglei Yawol Kanna Lup (KYKL),Firearms
2.00E+11,2003,2,10,Jharkhand (State),Chandawa,Armed Assault,Police,Maoist Communist Center (MCC),Firearms
2.00E+11,2003,2,10,Jharkhand (State),Unknown,Armed Assault,Police,Maoist Communist Center (MCC),Firearms
2.00E+11,2003,2,12,Jammu and Kashmir (State),Bonkoot,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,2,16,Andhra Pradesh (State),Srigeri Pado,Armed Assault,Police,Naxalites,Firearms
2.00E+11,2003,2,20,Jammu and Kashmir (State),Tehsil Chowk,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,2,23,Assam (State),Guwahati,Bombing/Explosion,Military,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.00E+11,2003,2,25,Jammu and Kashmir (State),Rai Sehot,Armed Assault,Business,Unknown,Firearms
2.00E+11,2003,2,26,Tripura (State),Santarampada,Armed Assault,Military,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2003,3,5,Jammu and Kashmir (State),Kulgam,Armed Assault,Violent Political Party,Other,Firearms
2.00E+11,2003,3,8,Assam (State),Digboi,Bombing/Explosion,Utilities,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.00E+11,2003,3,8,Assam (State),Kathalguri,Bombing/Explosion,Utilities,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.00E+11,2003,3,8,Assam (State),Rangjuli,Armed Assault,Business,United Liberation Front of Assam (ULFA),Firearms
2.00E+11,2003,3,8,Assam (State),Unknown,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.00E+11,2003,3,8,Jammu and Kashmir (State),Doda District,Bombing/Explosion,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2003,3,11,Jammu and Kashmir (State),Rajauri,Bombing/Explosion,Business,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,3,13,Maharashtra (State),Mumbai,Bombing/Explosion,Transportation,Students Islamic Movement of India (SIMI),Explosives/Bombs/Dynamite
2.00E+11,2003,3,13,Jammu and Kashmir (State),Rajauri,Bombing/Explosion,Transportation,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,3,13,Jammu and Kashmir (State),Poonch,Armed Assault,Private Citizens & Property,Other,Firearms
2.00E+11,2003,3,14,National Capital Territory of Delhi (Union Territory),New Delhi,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,3,14,Jammu and Kashmir (State),Poonch,Hostage Taking (Barricade Incident),Private Citizens & Property,Lashkar-e-Taiba (LeT),Explosives/Bombs/Dynamite
2.00E+11,2003,3,14,Jammu and Kashmir (State),Budgam District,Armed Assault,Government (General),Other,Firearms
2.00E+11,2003,3,14,Jammu and Kashmir (State),Baramulla District,Armed Assault,Government (General),Other,Firearms
2.00E+11,2003,3,15,Jammu and Kashmir (State),Rajauri,Facility/Infrastructure Attack,Private Citizens & Property,Other,Incendiary
2.00E+11,2003,3,15,Jammu and Kashmir (State),Udhampur,Armed Assault,Police,Hizbul Mujahideen (HM),Firearms
2.00E+11,2003,3,16,Assam (State),Bamungopha,Bombing/Explosion,Police,United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite
2.00E+11,2003,3,17,Jammu and Kashmir (State),Puhroo,Armed Assault,Police,Tehrik al-Mojahedin,Firearms
2.00E+11,2003,3,17,Jammu and Kashmir (State),Bijbehara,Bombing/Explosion,Unknown,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,3,23,Jammu and Kashmir (State),Nadi Marg,Armed Assault,Private Citizens & Property,Lashkar-e-Taiba (LeT),Firearms
2.00E+11,2003,3,23,Jammu and Kashmir (State),Srinagar,Armed Assault,Police,Jaish-e-Mohammad (JeM),Firearms
2.00E+11,2003,3,23,Jammu and Kashmir (State),Batamaloo,Armed Assault,Police,Jaish-e-Mohammad (JeM),Firearms
2.00E+11,2003,3,23,Manipur (State),Maphou,Hostage Taking (Kidnapping),NGO,Kuki Liberation Army (KLA),Firearms
2.00E+11,2003,3,26,Gujarat (State),Ahmedabad,Armed Assault,Government (General),Unknown,Firearms
2.00E+11,2003,3,26,Jammu and Kashmir (State),Malikpora,Armed Assault,Private Citizens & Property,Other,Firearms
2.00E+11,2003,3,26,Jammu and Kashmir,Jammu,Bombing/Explosion,Utilities,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,3,28,Jammu and Kashmir (State),Poonch,Armed Assault,Private Citizens & Property,Other,Firearms
2.00E+11,2003,3,28,Jammu and Kashmir (State),Banihati,Armed Assault,Private Citizens & Property,Other,Melee
2.00E+11,2003,3,28,Jammu and Kashmir (State),Wagad,Bombing/Explosion,Military,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,3,29,Andhra Pradesh (State),Gomanda,Bombing/Explosion,Transportation,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,3,30,Andhra Pradesh (State),Kamareddy,Bombing/Explosion,Government (General),People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,4,8,Jammu and Kashmir (State),Khudwani Puhroo,Armed Assault,Government (General),Unknown,Firearms
2.00E+11,2003,4,9,Jammu and Kashmir (State),Kanthpora Sogam,Hostage Taking (Kidnapping),Military,Unknown,Melee
2.00E+11,2003,4,12,Jammu and Kashmir (State),Kulgam,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,4,12,Jammu and Kashmir (State),Qazigund,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,4,12,Jammu and Kashmir (State),Lalchowk,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,4,13,Jehanabad (District),Karpi,Armed Assault,Private Citizens & Property,People's War Group (PWG),Firearms
2.00E+11,2003,4,14,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,4,14,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,4,15,Nawada (District),Govindpur,Bombing/Explosion,Police,Maoist Communist Center (MCC),Explosives/Bombs/Dynamite
2.00E+11,2003,4,17,Jammu and Kashmir (State),Gul,Armed Assault,Police,Unknown,Firearms
2.00E+11,2003,4,17,Jammu and Kashmir (State),Magam,Bombing/Explosion,Business,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,4,22,Jammu and Kashmir (State),Goriwan,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,4,26,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Journalists & Media,Muslim Rebels,Explosives/Bombs/Dynamite
2.00E+11,2003,4,26,Jammu and Kashmir (State),Baramulla,Bombing/Explosion,Government (General),Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,5,1,Jammu and Kashmir (State),Tral,Armed Assault,Military,Other,Firearms
2.00E+11,2003,5,3,Jammu and Kashmir (State),Anantnag,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,5,5,Jammu and Kashmir (State),Duderhama,Assassination,Government (General),Other,Explosives/Bombs/Dynamite
2.00E+11,2003,5,5,Jammu and Kashmir (State),Doda,Bombing/Explosion,Police,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2003,5,6,Jammu and Kashmir (State),Lasjan,Bombing/Explosion,Police,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,5,6,Jammu and Kashmir (State),Pulwama,Bombing/Explosion,Police,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,5,7,Tripura (State),Mohorcherra,Armed Assault,Private Citizens & Property,All Tripura Tiger Force (ATTF),Firearms
2.00E+11,2003,5,7,Jammu and Kashmir (State),Baramulla,Bombing/Explosion,Military,Al-Mansoorian,Explosives/Bombs/Dynamite
2.00E+11,2003,5,7,Tripura (State),Fimnacherra,Armed Assault,Private Citizens & Property,All Tripura Tiger Force (ATTF),Firearms
2.00E+11,2003,5,7,Tripura (State),Agartala,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2003,5,9,Jammu and Kashmir (State),Khrew,Armed Assault,Government (General),Other,Firearms
2.00E+11,2003,5,12,Jammu and Kashmir (State),Kupwara,Armed Assault,Police,Unknown,Firearms
2.00E+11,2003,5,12,Jammu and Kashmir (State),Shopian,Armed Assault,Police,Unknown,Firearms
2.00E+11,2003,5,12,Jammu and Kashmir (State),Nasu,Armed Assault,Military,Other,Firearms
2.00E+11,2003,5,13,Jammu and Kashmir (State),Karan Nagar,Armed Assault,Police,Unknown,Firearms
2.00E+11,2003,5,13,Jammu and Kashmir (State),Thanamandi,Armed Assault,Military,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,5,17,Jammu and Kashmir (State),Srinagar,Armed Assault,Police,Unknown,Firearms
2.00E+11,2003,5,19,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,5,19,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,5,19,Jammu and Kashmir (State),Awantipora,Armed Assault,Police,Unknown,Firearms
2.00E+11,2003,5,19,Jammu and Kashmir (State),Srinagar,Armed Assault,Military,Unknown,Firearms
2.00E+11,2003,5,28,Jammu and Kashmir (State),Dangiwachi,Armed Assault,Military,Other,Firearms
2.00E+11,2003,5,30,Jammu and Kashmir (State),Thanamandi,Bombing/Explosion,Private Citizens & Property,Other,Explosives/Bombs/Dynamite
2.00E+11,2003,5,31,Jammu and Kashmir (State),Khudwani,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,5,31,Jammu and Kashmir (State),Bragam,Armed Assault,Government (General),Other,Firearms
2.00E+11,2003,6,1,Manipur (State),Tuinem,Armed Assault,Police,People's Revolutionary Party of Kangleipak (PREPAK),Firearms
2.00E+11,2003,6,16,Andhra Pradesh (State),Nemallipuri,Bombing/Explosion,Police,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,6,16,Andhra Pradesh (State),Unknown,Hostage Taking (Kidnapping),Police,People's War Group (PWG),Unknown
2.00E+11,2003,6,17,Jammu and Kashmir (State),Khiram,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,6,17,Jammu and Kashmir (State),Shopian,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,6,21,Jammu and Kashmir (Occupied Territory),Todi-Poonch,Unarmed Assault,Private Citizens & Property,Lashkar-e-Taiba (LeT),Chemical
2.00E+11,2003,6,23,Jammu and Kashmir (State),Dodi,Assassination,Private Citizens & Property,Unknown,Chemical
2.00E+11,2003,6,23,Jammu and Kashmir (State),Shopian,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,6,23,Jammu and Kashmir (State),Sogam,Armed Assault,Private Citizens & Property,Unknown,Firearms
2.00E+11,2003,6,23,Jammu and Kashmir (State),Hari,Assassination,Private Citizens & Property,Unknown,Chemical
2.00E+11,2003,6,28,Jammu and Kashmir (State),Jammu,Facility/Infrastructure Attack,Military,Unknown,Firearms
2.00E+11,2003,7,3,Bihar (State),Paraiya,Armed Assault,Police,Maoist Communist Center (MCC),Firearms
2.00E+11,2003,7,4,Jammu and Kashmir (State),Larnu,Armed Assault,Government (General),Jamiat ul-Mujahedin (JuM),Firearms
2.00E+11,2003,7,12,Jammu and Kashmir (State),Kaloosa,Bombing/Explosion,Educational Institution,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,7,15,Bihar (State),Nadda,Bombing/Explosion,Transportation,Maoist Communist Center (MCC),Explosives/Bombs/Dynamite
2.00E+11,2003,7,15,Bihar (State),Pipra,Bombing/Explosion,Transportation,Maoist Communist Center (MCC),Explosives/Bombs/Dynamite
2.00E+11,2003,7,15,Bihar (State),Rambhadrapur,Facility/Infrastructure Attack,Transportation,Maoist Communist Center (MCC),Sabotage Equipment
2.00E+11,2003,7,15,Bihar (State),Barginia,Facility/Infrastructure Attack,Transportation,Maoist Communist Center (MCC),Sabotage Equipment
2.00E+11,2003,7,17,Tripura (State),Rathinjaihalampara,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2003,7,17,Tripura (State),Thanabulhalampara,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2003,7,21,Jammu and Kashmir (State),Katra,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,7,22,Jammu and Kashmir (State),Tanda,Bombing/Explosion,Military,Al-Shuda Brigade,Explosives/Bombs/Dynamite
2.00E+11,2003,7,22,Jammu and Kashmir (State),Qazigund,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,7,27,Manipur (Province),Wangjing,Armed Assault,Government (General),Unknown,Firearms
2.00E+11,2003,7,27,Jammu and Kashmir (State),Kokernag,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,7,28,Maharasthra (Region),Mumbai,Bombing/Explosion,Transportation,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,7,29,Tripura (State),Champahaur,Armed Assault,Private Citizens & Property,National Liberation Front of Tripura (NLFT),Firearms
2.00E+11,2003,7,29,Jammu and Kashmir (State),Kokernag,Armed Assault,Government (General),Unknown,Firearms
2.00E+11,2003,8,7,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,8,25,Maharashtra (State),Mumbai,Bombing/Explosion,Private Citizens & Property,Students Islamic Movement of India (SIMI),Explosives/Bombs/Dynamite
2.00E+11,2003,9,2,Jammu and Kashmir (State),Banhihal,Armed Assault,Government (General),Unknown,Firearms
2.00E+11,2003,9,2,Jammu and Kashmir (State),Chursoo,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,9,2,Jammu and Kashmir (State),Ishber,Armed Assault,Military,Unknown,Firearms
2.00E+11,2003,9,6,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2003,9,6,Jammu and Kashmir (State),Jammu,Armed Assault,Police,Unknown,Firearms
2.00E+11,2003,9,7,Assam (State),Guwahati,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,9,7,Jharkland (State),Unknown,Bombing/Explosion,Violent Political Party,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,9,8,Bihar (State),Unknown,Bombing/Explosion,Police,People's War Group (PWG),Explosives/Bombs/Dynamite
2.00E+11,2003,9,9,Jammu and Kashmir (State),Doda,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,9,11,Jammu and Kashmir (State),Srinagar,Bombing/Explosion,Military,Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite
2.00E+11,2003,9,13,Jammu and Kashmir (State),Nowgam,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite
2.00E+11,2003,9,20,Jammu and Kashmir (State),Shopian,Armed Assault,Private Citizens & Property,Unknown,Firearms
